paragraph,punctuation,cluster
提出改进措施，必要时可以委托网络安全服务机构对网络存,，,5
在的安全风险进行检测评估；,；,0
（二）定期组织关键信息基础设施的运营者进行网络安,（）,9
全应急演练，提高应对网络安全事件的水平和协同配合能力；,，；,3
中华人民共和国网络安全法,,0
（三）促进有关部门、关键信息基础设施的运营者以及,（）、,7
有关研究机构、网络安全服务机构等之间的网络安全信息共,、,4
享；,；,0
（四）对网络安全事件的应急处置与网络功能的恢复等，,（），,3
提供技术支持和协助。[1],。[],8
中华人民共和国网络安全法,,0
13,,6
第四章,,6
网络信息安全,,0
第四十条,,6
网络运营者应当对其收集的用户信息严格保,,0
密，并建立健全用户信息保护制度。,，。,8
第四十一条,,6
网络运营者收集、使用个人信息，应当遵,、，,2
循合法、正当、必要的原则，公开收集、使用规则，明示收,、、，、，,2
集、使用信息的目的、方式和范围，并经被收集者同意。,、、，。,2
网络运营者不得收集与其提供的服务无关的个人信息，,，,5
不得违反法律、行政法规的规定和双方的约定收集、使用个,、、,7
人信息，并应当依照法律、行政法规的规定和与用户的约定，,，、，,2
处理其保存的个人信息。,。,1
第四十二条,,6
网络运营者不得泄露、篡改、毁损其收集,、、,7
的个人信息；未经被收集者同意，不得向他人提供个人信息。,；，。,2
但是，经过处理无法识别特定个人且不能复原的除外。,，。,8
网络运营者应当采取技术措施和其他必要措施，确保其,，,5
收集的个人信息安全，防止信息泄露、毁损、丢失。在发生,，、、。,2
或者可能发生个人信息泄露、毁损、丢失的情况时，应当立,、、，,2
即采取补救措施，按照规定及时告知用户并向有关主管部门,，,5
报告。,。,1
第四十三条,,6
个人发现网络运营者违反法律、行政法规,、,4
的规定或者双方的约定收集、使用其个人信息的，有权要求,、，,2
网络运营者删除其个人信息；发现网络运营者收集、存储的,；、,8
中华人民共和国网络安全法,,0
其个人信息有错误的，有权要求网络运营者予以更正。网络,，。,8
运营者应当采取措施予以删除或者更正。,。,1
第四十四条,,6
任何个人和组织不得窃取或者以其他非法,,0
方式获取个人信息，不得非法出售或者非法向他人提供个人,，,5
信息。,。,1
第四十五条,,6
依法负有网络安全监督管理职责的部门及,,0
其工作人员，必须对在履行职责中知悉的个人信息、隐私和,，、,8
商业秘密严格保密，不得泄露、出售或者非法向他人提供。,，、。,2
第四十六条,,6
任何个人和组织应当对其使用网络的行为,,0
负责，不得设立用于实施诈骗，传授犯罪方法，制作或者销,，，，,11
售违禁物品、管制物品等违法犯罪活动的网站、通讯群组，,、、，,2
不得利用网络发布涉及实施诈骗，制作或者销售违禁物品、,，、,8
管制物品以及其他违法犯罪活动的信息。,。,1
第四十七条,,6
网络运营者应当加强对其用户发布的信息,,0
的管理，发现法律、行政法规禁止发布或者传输的信息的，,，、，,11
应当立即停止传输该信息，采取消除等处置措施，防止信息,，，,11
扩散，保存有关记录，并向有关主管部门报告。,，，。,8
第四十八条,,6
任何个人和组织发送的电子信息、提供的,、,4
应用软件，不得设置恶意程序，不得含有法律、行政法规禁,，，、,8
止发布或者传输的信息。,。,1
电子信息发送服务提供者和应用软件下载服务提供者，,，,5
应当履行安全管理义务，知道其用户有前款规定行为的，应,，，,11
当停止提供服务，采取消除等处置措施，保存有关记录，并,，，，,5
中华人民共和国网络安全法,,0
15,,6
向有关主管部门报告。,。,1
第四十九条,,6
网络运营者应当建立网络信息安全投诉、,、,4
举报制度，公布投诉、举报方式等信息，及时受理并处理有,，、，,2
关网络信息安全的投诉和举报。,。,1
网络运营者对网信部门和有关部门依法实施的监督检查，,，,5
应当予以配合。,。,1
第五十条,,6
国家网信部门和有关部门依法履行网络信息,,0
安全监督管理职责，发现法律、行政法规禁止发布或者传输,，、,8
的信息的，应当要求网络运营者停止传输，采取消除等处置,，，,11
措施，保存有关记录；对来源于中华人民共和国境外的上述,，；,3
信息，应当通知有关机构采取技术措施和其他必要措施阻断,，,5
传播。,。,1
中华人民共和国网络安全法,,0
第五章,,6
监测预警与应急处置,,0
第五十一条,,6
国家建立网络安全监测预警和信息通报,,0
制度。国家网信部门应当统筹协调有关部门加强网络安全信,。,1
息收集、分析和通报工作，按照规定统一发布网络安全监测,、，,2
预警信息。,。,1
第五十二条,,6
负责关键信息基础设施安全保护工作的,,0
部门，应当建立健全本行业、本领域的网络安全监测预警和,，、,8
信息通报制度，并按照规定报送网络安全监测预警信息。,，。,8
第五十三条,,6
国家网信部门协调有关部门建立健全网,,0
络安全风险评估和应急工作机制，制定网络安全事件应急预,，,5
案，并定期组织演练。,，。,8
负责关键信息基础设施安全保护工作的部门应当制定本,,0
行业、本领域的网络安全事件应急预案，并定期组织演练。,、，。,2
网络安全事件应急预案应当按照事件发生后的危害程度、,、,4
影响范围等因素对网络安全事件进行分级，并规定相应的应,，,5
急处置措施。,。,1
第五十四条,,6
网络安全事件发生的风险增大时，省级以,，,5
上人民政府有关部门应当按照规定的权限和程序，并根据网,，,5
络安全风险的特点和可能造成的危害，采取下列措施：,，：,11
（一）要求有关部门、机构和人员及时收集、报告有关,（）、、,7
信息，加强对网络安全风险的监测；,，；,3
中华人民共和国网络安全法,,0
17,,6
（二）组织有关部门、机构和专业人员，对网络安全风,（）、，,3
险信息进行分析评估，预测事件发生的可能性、影响范围和,，、,8
危害程度；,；,0
（三）向社会发布网络安全风险预警，发布避免、减轻,（），、,3
危害的措施。,。,1
第五十五条,,6
发生网络安全事件，应当立即启动网络安,，,5
全事件应急预案，对网络安全事件进行调查和评估，要求网,，，,11
络运营者采取技术措施和其他必要措施，消除安全隐患，防,，，,11
止危害扩大，并及时向社会发布与公众有关的警示信息。,，。,8
第五十六条,,6
省级以上人民政府有关部门在履行网络,,0
安全监督管理职责中，发现网络存在较大安全风险或者发生,，,5
安全事件的，可以按照规定的权限和程序对该网络的运营者,，,5
的法定代表人或者主要负责人进行约谈。网络运营者应当按,。,1
照要求采取措施，进行整改，消除隐患。,，，。,8
第五十七条,,6
因网络安全事件，发生突发事件或者生产,，,5
安全事故的，应当依照《中华人民共和国突发事件应对法》、,，《》、,8
《中华人民共和国安全生产法》等有关法律、行政法规的规,《》、,7
定处置。,。,1
第五十八条,,6
因维护国家安全和社会公共秩序，处置重,，,5
大突发社会安全事件的需要，经国务院决定或者批准，可以,，，,11
在特定区域对网络通信采取限制等临时措施。,。,1
中华人民共和国网络安全法,,0
第六章 法律责任, ,6
第五十九条,,6
网络运营者不履行本法第二十一条、第二,、,4
十五条规定的网络安全保护义务的，由有关主管部门责令改,，,5
正，给予警告；拒不改正或者导致危害网络安全等后果的，,，；，,11
处一万元以上十万元以下罚款，对直接负责的主管人员处五,，,5
千元以上五万元以下罚款。,。,1
关键信息基础设施的运营者不履行本法第三十三条、第,、,4
三十四条、第三十六条、第三十八条规定的网络安全保护义,、、,7
务的，由有关主管部门责令改正，给予警告；拒不改正或者,，，；,11
导致危害网络安全等后果的，处十万元以上一百万元以下罚,，,5
款，对直接负责的主管人员处一万元以上十万元以下罚款。,，。,8
第六十条,,6
违反本法第二十二条第一款、第二款和第四,、,4
十八条第一款规定，有下列行为之一的，由有关主管部门责,，，,11
令改正，给予警告；拒不改正或者导致危害网络安全等后果,，；,11
的，处五万元以上五十万元以下罚款，对直接负责的主管人,，，,11
员处一万元以上十万元以下罚款：,：,3
（一）设置恶意程序的；,（）；,3
（二）对其产品、服务存在的安全缺陷、漏洞等风险未,（）、、,7
立即采取补救措施，或者未按照规定及时告知用户并向有关,，,5
主管部门报告的；,；,0
（三）擅自终止为其产品、服务提供安全维护的。,（）、。,2
中华人民共和国网络安全法,,0
19,,6
第六十一条,,6
网络运营者违反本法第二十四条第一款,,0
规定，未要求用户提供真实身份信息，或者对不提供真实身,，，,11
份信息的用户提供相关服务的，由有关主管部门责令改正；,，；,3
拒不改正或者情节严重的，处五万元以上五十万元以下罚款，,，，,11
并可以由有关主管部门责令暂停相关业务、停业整顿、关闭,、、,7
网站、吊销相关业务许可证或者吊销营业执照，对直接负责,、，,2
的主管人员和其他直接责任人员处一万元以上十万元以下,,0
罚款。,。,1
第六十二条,,6
违反本法第二十六条规定，开展网络安全,，,5
认证、检测、风险评估等活动，或者向社会发布系统漏洞、,、、，、,7
计算机病毒、网络攻击、网络侵入等网络安全信息的，由有,、、，,2
关主管部门责令改正，给予警告；拒不改正或者情节严重的，,，；，,11
处一万元以上十万元以下罚款，并可以由有关主管部门责令,，,5
暂停相关业务、停业整顿、关闭网站、吊销相关业务许可证,、、、,7
或者吊销营业执照，对直接负责的主管人员和其他直接责任,，,5
人员处五千元以上五万元以下罚款。,。,1
第六十三条,,6
违反本法第二十七条规定，从事危害网络,，,5
安全的活动，或者提供专门用于从事危害网络安全活动的程,，,5
序、工具，或者为他人从事危害网络安全的活动提供技术支,、，,2
持、广告推广、支付结算等帮助，尚不构成犯罪的，由公安,、、，，,2
机关没收违法所得，处五日以下拘留，可以并处五万元以上,，，,11
中华人民共和国网络安全法,,0
五十万元以下罚款；情节较重的，处五日以上十五日以下拘,；，,11
留，可以并处十万元以上一百万元以下罚款。,，。,8
单位有前款行为的，由公安机关没收违法所得，处十万,，，,11
元以上一百万元以下罚款，并对直接负责的主管人员和其他,，,5
直接责任人员依照前款规定处罚。,。,1
违反本法第二十七条规定，受到治安管理处罚的人员，,，，,11
五年内不得从事网络安全管理和网络运营关键岗位的工作；,；,0
受到刑事处罚的人员，终身不得从事网络安全管理和网络运,，,5
营关键岗位的工作。,。,1
第六十四条,,6
网络运营者、网络产品或者服务的提供者,、,4
违反本法第二十二条第三款、第四十一条至第四十三条规定，,、，,2
侵害个人信息依法得到保护的权利的，由有关主管部门责令,，,5
改正，可以根据情节单处或者并处警告、没收违法所得、处,，、、,7
违法所得一倍以上十倍以下罚款，没有违法所得的，处一百,，，,11
万元以下罚款，对直接负责的主管人员和其他直接责任人员,，,5
处一万元以上十万元以下罚款；情节严重的，并可以责令暂,；，,11
停相关业务、停业整顿、关闭网站、吊销相关业务许可证或,、、、,7
者吊销营业执照。,。,1
违反本法第四十四条规定，窃取或者以其他非法方式获,，,5
取、非法出售或者非法向他人提供个人信息，尚不构成犯罪,、，,2
的，由公安机关没收违法所得，并处违法所得一倍以上十倍,，，,11
以下罚款，没有违法所得的，处一百万元以下罚款。,，，。,8
第六十五条,,6
关键信息基础设施的运营者违反本法第,,0
中华人民共和国网络安全法,,0
21,,6
三十五条规定，使用未经安全审查或者安全审查未通过的网,，,5
络产品或者服务的，由有关主管部门责令停止使用，处采购,，，,11
金额一倍以上十倍以下罚款；对直接负责的主管人员和其他,；,0
直接责任人员处一万元以上十万元以下罚款。,。,1
第六十六条,,6
关键信息基础设施的运营者违反本法第,,0
三十七条规定，在境外存储网络数据，或者向境外提供网络,，，,11
数据的，由有关主管部门责令改正，给予警告，没收违法所,，，，,5
得，处五万元以上五十万元以下罚款，并可以责令暂停相关,，，,11
业务、停业整顿、关闭网站、吊销相关业务许可证或者吊销,、、、,7
营业执照；对直接负责的主管人员和其他直接责任人员处一,；,0
万元以上十万元以下罚款。,。,1
第六十七条,,6
违反本法第四十六条规定，设立用于实施,，,5
违法犯罪活动的网站、通讯群组，或者利用网络发布涉及实,、，,2
施违法犯罪活动的信息，尚不构成犯罪的，由公安机关处五,，，,11
日以下拘留，可以并处一万元以上十万元以下罚款；情节较,，；,3
重的，处五日以上十五日以下拘留，可以并处五万元以上五,，，,11
十万元以下罚款。关闭用于实施违法犯罪活动的网站、通讯,。、,7
群组。,。,1
单位有前款行为的，由公安机关处十万元以上五十万元,，,5
以下罚款，并对直接负责的主管人员和其他直接责任人员依,，,5
照前款规定处罚。,。,1
第六十八条,,6
网络运营者违反本法第四十七条规定，对,，,5
中华人民共和国网络安全法,,0
法律、行政法规禁止发布或者传输的信息未停止传输、采取,、、,7
消除等处置措施、保存有关记录的，由有关主管部门责令改,、，,2
正，给予警告，没收违法所得；拒不改正或者情节严重的，,，，；，,11
处十万元以上五十万元以下罚款，并可以责令暂停相关业务、,，、,8
停业整顿、关闭网站、吊销相关业务许可证或者吊销营业执,、、,7
照，对直接负责的主管人员和其他直接责任人员处一万元以,，,5
上十万元以下罚款。,。,1
电子信息发送服务提供者、应用软件下载服务提供者，,、，,2
不履行本法第四十八条第二款规定的安全管理义务的，依照,，,5
前款规定处罚。,。,1
第六十九条,,6
网络运营者违反本法规定，有下列行为之,，,5
一的，由有关主管部门责令改正；拒不改正或者情节严重的，,，；，,11
处五万元以上五十万元以下罚款，对直接负责的主管人员和,，,5
其他直接责任人员，处一万元以上十万元以下罚款：,，：,11
（一）不按照有关部门的要求对法律、行政法规禁止发,（）、,8
布或者传输的信息，采取停止传输、消除等处置措施的；,，、；,2
（二）拒绝、阻碍有关部门依法实施的监督检查的；,（）、；,3
（三）拒不向公安机关、国家安全机关提供技术支持和,（）、,7
协助的。,。,1
第七十条,,6
发布或者传输本法第十二条第二款和其他,,0
法律、行政法规禁止发布或者传输的信息的，依照有关法律、,、，、,7
行政法规的规定处罚。,。,1
第七十一条,,6
有本法规定的违法行为的，依照有关法律、,，、,8
中华人民共和国网络安全法,,0
23,,6
行政法规的规定记入信用档案，并予以公示。,，。,8
第七十二条,,6
国家机关政务网络的运营者不履行本法,,0
规定的网络安全保护义务的，由其上级机关或者有关机关责,，,5
令改正；对直接负责的主管人员和其他直接责任人员依法给,；,0
予处分。,。,1
第七十三条,,6
网信部门和有关部门违反本法第三十条,,0
规定，将在履行网络安全保护职责中获取的信息用于其他用,，,5
途的，对直接负责的主管人员和其他直接责任人员依法给予,，,5
处分。,。,1
网信部门和有关部门的工作人员玩忽职守、滥用职权、,、、,7
徇私舞弊，尚不构成犯罪的，依法给予处分。,，，。,8
第七十四条,,6
违反本法规定，给他人造成损害的，依法,，，,11
承担民事责任。,。,1
违反本法规定，构成违反治安管理行为的，依法给予治,，，,11
安管理处罚；构成犯罪的，依法追究刑事责任。,；，。,2
第七十五条,,6
境外的机构、组织、个人从事攻击、侵入、,、、、、,7
干扰、破坏等危害中华人民共和国的关键信息基础设施的活,、,4
动，造成严重后果的，依法追究法律责任；国务院公安部门,，，；,11
和有关部门并可以决定对该机构、组织、个人采取冻结财产,、、,7
或者其他必要的制裁措施。,。,1
中华人民共和国网络安全法,,0
中华人民共和国网络安全法,,0
25,,6
第七章 附则, ,6
第七十六条,,6
本法下列用语的含义：,：,3
（一）网络，是指由计算机或者其他信息终端及相关设,（），,3
备组成的按照一定的规则和程序对信息进行收集、存储、传,、、,7
输、交换、处理的系统。,、、。,2
（二）网络安全，是指通过采取必要措施，防范对网络,（），，,3
的攻击、侵入、干扰、破坏和非法使用以及意外事故，使网,、、、，,2
络处于稳定可靠运行的状态，以及保障网络数据的完整性、,，、,8
保密性、可用性的能力。,、。,2
（三）网络运营者，是指网络的所有者、管理者和网络,（），、,3
服务提供者。,。,1
（四）网络数据，是指通过网络收集、存储、传输、处,（），、、、,7
理和产生的各种电子数据。,。,1
（五）个人信息，是指以电子或者其他方式记录的能够,（），,3
单独或者与其他信息结合识别自然人个人身份的各种信息，,，,5
包括但不限于自然人的姓名、出生日期、身份证件号码、个,、、、,7
人生物识别信息、住址、电话号码等。,、、。,2
第七十七条,,6
存储、处理涉及国家秘密信息的网络的运,、,4
行安全保护，除应当遵守本法外，还应当遵守保密法律、行,，，、,8
政法规的规定。[1],。[],8
第七十八条,,6
军事网络的安全保护，由中央军事委员会,，,5
中华人民共和国网络安全法,,0
另行规定。,。,1
第七十九条,,6
本法自 2017 年 6 月 1 日起施行。,      。,1
— 1 —,—  —,10
中华人民共和国个人信息保护法,,0
（2021 年 8 月 20 日中华人民共和国主席令第 91 号公布,（       ,3
自 2021 年 11 月 1 日起施行）,      ）,0
目,,6
录,,6
第一章,,6
总,,6
则,,6
第二章,,6
个人信息处理规则,,0
第一节,,6
一般规定,,6
第二节,,6
敏感个人信息的处理规则,,0
第三节,,6
国家机关处理个人信息的特别规定,,0
第三章,,6
个人信息跨境提供的规则,,0
第四章,,6
个人在个人信息处理活动中的权利,,0
第五章,,6
个人信息处理者的义务,,0
第六章,,6
履行个人信息保护职责的部门,,0
第七章,,6
法律责任,,6
第八章,,6
附,,6
则,,6
第一章,,6
总,,6
则,,6
第一条,,6
为了保护个人信息权益，规范个人信息处理活动，,，，,11
促进个人信息合理利用，根据宪法，制定本法。,，，。,8
第二条,,6
自然人的个人信息受法律保护，任何组织、个人不,，、,8
得侵害自然人的个人信息权益。,。,1
— 2 —,—  —,10
第三条,,6
在中华人民共和国境内处理自然人个人信息的活,,0
动，适用本法。,，。,8
在中华人民共和国境外处理中华人民共和国境内自然人个,,0
人信息的活动，有下列情形之一的，也适用本法：,，，：,11
（一）以向境内自然人提供产品或者服务为目的；,（）；,3
（二）分析、评估境内自然人的行为；,（）、；,3
（三）法律、行政法规规定的其他情形。,（）、。,2
第四条,,6
个人信息是以电子或者其他方式记录的与已识别,,0
或者可识别的自然人有关的各种信息，不包括匿名化处理后的信,，,5
息。,。,1
个人信息的处理包括个人信息的收集、存储、使用、加工、,、、、、,7
传输、提供、公开、删除等。,、、、。,2
第五条,,6
处理个人信息应当遵循合法、正当、必要和诚信原,、、,7
则，不得通过误导、欺诈、胁迫等方式处理个人信息。,，、、。,2
第六条,,6
处理个人信息应当具有明确、合理的目的，并应当,、，,2
与处理目的直接相关，采取对个人权益影响最小的方式。,，。,8
收集个人信息，应当限于实现处理目的的最小范围，不得过,，，,11
度收集个人信息。,。,1
第七条,,6
处理个人信息应当遵循公开、透明原则，公开个人,、，,2
信息处理规则，明示处理的目的、方式和范围。,，、。,2
第八条,,6
处理个人信息应当保证个人信息的质量，避免因个,，,5
人信息不准确、不完整对个人权益造成不利影响。,、。,2
第九条,,6
个人信息处理者应当对其个人信息处理活动负责，,，,5
并采取必要措施保障所处理的个人信息的安全。,。,1
— 3 —,—  —,10
第十条,,6
任何组织、个人不得非法收集、使用、加工、传输,、、、、,7
他人个人信息，不得非法买卖、提供或者公开他人个人信息；不,，、；,2
得从事危害国家安全、公共利益的个人信息处理活动。,、。,2
第十一条,,6
国家建立健全个人信息保护制度，预防和惩治侵,，,5
害个人信息权益的行为，加强个人信息保护宣传教育，推动形成,，，,11
政府、企业、相关社会组织、公众共同参与个人信息保护的良好,、、、,7
环境。,。,1
第十二条,,6
国家积极参与个人信息保护国际规则的制定，促,，,5
进个人信息保护方面的国际交流与合作，推动与其他国家、地区、,，、、,7
国际组织之间的个人信息保护规则、标准等互认。,、。,2
第二章,,6
个人信息处理规则,,0
第一节,,6
一般规定,,6
第十三条,,6
符合下列情形之一的，个人信息处理者方可处理,，,5
个人信息：,：,3
（一）取得个人的同意；,（）；,3
（二）为订立、履行个人作为一方当事人的合同所必需，或,（）、，,3
者按照依法制定的劳动规章制度和依法签订的集体合同实施人,,0
力资源管理所必需；,；,0
（三）为履行法定职责或者法定义务所必需；,（）；,3
（四）为应对突发公共卫生事件，或者紧急情况下为保护自,（），,3
然人的生命健康和财产安全所必需；,；,0
（五）为公共利益实施新闻报道、舆论监督等行为，在合理,（）、，,2
的范围内处理个人信息；,；,0
— 4 —,—  —,10
（六）依照本法规定在合理的范围内处理个人自行公开或者,（）,9
其他已经合法公开的个人信息；,；,0
（七）法律、行政法规规定的其他情形。,（）、。,2
依照本法其他有关规定，处理个人信息应当取得个人同意，,，，,11
但是有前款第二项至第七项规定情形的，不需取得个人同意。,，。,8
第十四条,,6
基于个人同意处理个人信息的，该同意应当由个,，,5
人在充分知情的前提下自愿、明确作出。法律、行政法规规定处,、。、,7
理个人信息应当取得个人单独同意或者书面同意的，从其规定。,，。,8
个人信息的处理目的、处理方式和处理的个人信息种类发生,、,4
变更的，应当重新取得个人同意。,，。,8
第十五条,,6
基于个人同意处理个人信息的，个人有权撤回其,，,5
同意。个人信息处理者应当提供便捷的撤回同意的方式。,。。,8
个人撤回同意，不影响撤回前基于个人同意已进行的个人信,，,5
息处理活动的效力。,。,1
第十六条,,6
个人信息处理者不得以个人不同意处理其个人,,0
信息或者撤回同意为由，拒绝提供产品或者服务；处理个人信息,，；,3
属于提供产品或者服务所必需的除外。,。,1
第十七条,,6
个人信息处理者在处理个人信息前，应当以显著,，,5
方式、清晰易懂的语言真实、准确、完整地向个人告知下列事项：,、、、：,7
（一）个人信息处理者的名称或者姓名和联系方式；,（）；,3
（二）个人信息的处理目的、处理方式，处理的个人信息种,（）、，,3
类、保存期限；,、；,2
（三）个人行使本法规定权利的方式和程序；,（）；,3
（四）法律、行政法规规定应当告知的其他事项。,（）、。,2
前款规定事项发生变更的，应当将变更部分告知个人。,，。,8
— 5 —,—  —,10
个人信息处理者通过制定个人信息处理规则的方式告知第,,0
一款规定事项的，处理规则应当公开，并且便于查阅和保存。,，，。,8
第十八条,,6
个人信息处理者处理个人信息，有法律、行政法,，、,8
规规定应当保密或者不需要告知的情形的，可以不向个人告知前,，,5
条第一款规定的事项。,。,1
紧急情况下为保护自然人的生命健康和财产安全无法及时,,0
向个人告知的，个人信息处理者应当在紧急情况消除后及时告,，,5
知。,。,1
第十九条,,6
除法律、行政法规另有规定外，个人信息的保存,、，,2
期限应当为实现处理目的所必要的最短时间。,。,1
第二十条,,6
两个以上的个人信息处理者共同决定个人信息,,0
的处理目的和处理方式的，应当约定各自的权利和义务。但是，,，。，,11
该约定不影响个人向其中任何一个个人信息处理者要求行使本,,0
法规定的权利。,。,1
个人信息处理者共同处理个人信息，侵害个人信息权益造成,，,5
损害的，应当依法承担连带责任。,，。,8
第二十一条,,6
个人信息处理者委托处理个人信息的，应当与,，,5
受托人约定委托处理的目的、期限、处理方式、个人信息的种类、,、、、、,7
保护措施以及双方的权利和义务等，并对受托人的个人信息处理,，,5
活动进行监督。,。,1
受托人应当按照约定处理个人信息，不得超出约定的处理目,，,5
的、处理方式等处理个人信息；委托合同不生效、无效、被撤销,、；、、,7
或者终止的，受托人应当将个人信息返还个人信息处理者或者予,，,5
以删除，不得保留。,，。,8
— 6 —,—  —,10
未经个人信息处理者同意，受托人不得转委托他人处理个人,，,5
信息。,。,1
第二十二条,,6
个人信息处理者因合并、分立、解散、被宣告,、、、,7
破产等原因需要转移个人信息的，应当向个人告知接收方的名称,，,5
或者姓名和联系方式。接收方应当继续履行个人信息处理者的义,。,1
务。接收方变更原先的处理目的、处理方式的，应当依照本法规,。、，,2
定重新取得个人同意。,。,1
第二十三条,,6
个人信息处理者向其他个人信息处理者提供,,0
其处理的个人信息的，应当向个人告知接收方的名称或者姓名、,，、,8
联系方式、处理目的、处理方式和个人信息的种类，并取得个人,、、，,2
的单独同意。接收方应当在上述处理目的、处理方式和个人信息,。、,7
的种类等范围内处理个人信息。接收方变更原先的处理目的、处,。、,7
理方式的，应当依照本法规定重新取得个人同意。,，。,8
第二十四条,,6
个人信息处理者利用个人信息进行自动化决,,0
策，应当保证决策的透明度和结果公平、公正，不得对个人在交,，、，,11
易价格等交易条件上实行不合理的差别待遇。,。,1
通过自动化决策方式向个人进行信息推送、商业营销，应当,、，,2
同时提供不针对其个人特征的选项，或者向个人提供便捷的拒绝,，,5
方式。,。,1
通过自动化决策方式作出对个人权益有重大影响的决定，个,，,5
人有权要求个人信息处理者予以说明，并有权拒绝个人信息处理,，,5
者仅通过自动化决策的方式作出决定。,。,1
第二十五条,,6
个人信息处理者不得公开其处理的个人信息，,，,5
取得个人单独同意的除外。,。,1
— 7 —,—  —,10
第二十六条,,6
在公共场所安装图像采集、个人身份识别设,、,4
备，应当为维护公共安全所必需，遵守国家有关规定，并设置显,，，，,5
著的提示标识。所收集的个人图像、身份识别信息只能用于维护,。、,7
公共安全的目的，不得用于其他目的；取得个人单独同意的除外。,，；。,8
第二十七条,,6
个人信息处理者可以在合理的范围内处理个,,0
人自行公开或者其他已经合法公开的个人信息；个人明确拒绝的,；,0
除外。个人信息处理者处理已公开的个人信息，对个人权益有重,。，,3
大影响的，应当依照本法规定取得个人同意。,，。,8
第二节,,6
敏感个人信息的处理规则,,0
第二十八条,,6
敏感个人信息是一旦泄露或者非法使用，容易,，,5
导致自然人的人格尊严受到侵害或者人身、财产安全受到危害的,、,4
个人信息，包括生物识别、宗教信仰、特定身份、医疗健康、金,，、、、、,7
融账户、行踪轨迹等信息，以及不满十四周岁未成年人的个人信,、，,2
息。,。,1
只有在具有特定的目的和充分的必要性，并采取严格保护措,，,5
施的情形下，个人信息处理者方可处理敏感个人信息。,，。,8
第二十九条,,6
处理敏感个人信息应当取得个人的单独同意；,；,0
法律、行政法规规定处理敏感个人信息应当取得书面同意的，从,、，,2
其规定。,。,1
第三十条,,6
个人信息处理者处理敏感个人信息的，除本法第,，,5
十七条第一款规定的事项外，还应当向个人告知处理敏感个人信,，,5
息的必要性以及对个人权益的影响；依照本法规定可以不向个人,；,0
告知的除外。,。,1
第三十一条,,6
个人信息处理者处理不满十四周岁未成年人,,0
个人信息的，应当取得未成年人的父母或者其他监护人的同意。,，。,8
— 8 —,—  —,10
个人信息处理者处理不满十四周岁未成年人个人信息的，应,，,5
当制定专门的个人信息处理规则。,。,1
第三十二条,,6
法律、行政法规对处理敏感个人信息规定应当,、,4
取得相关行政许可或者作出其他限制的，从其规定。,，。,8
第三节,,6
国家机关处理个人信息的特别规定,,0
第三十三条,,6
国家机关处理个人信息的活动，适用本法；本,，；,3
节有特别规定的，适用本节规定。,，。,8
第三十四条,,6
国家机关为履行法定职责处理个人信息，应当,，,5
依照法律、行政法规规定的权限、程序进行，不得超出履行法定,、、，,2
职责所必需的范围和限度。,。,1
第三十五条,,6
国家机关为履行法定职责处理个人信息，应当,，,5
依照本法规定履行告知义务；有本法第十八条第一款规定的情,；,0
形，或者告知将妨碍国家机关履行法定职责的除外。,，。,8
第三十六条,,6
国家机关处理的个人信息应当在中华人民共,,0
和国境内存储；确需向境外提供的，应当进行安全评估。安全评,；，。,2
估可以要求有关部门提供支持与协助。,。,1
第三十七条,,6
法律、法规授权的具有管理公共事务职能的组,、,4
织为履行法定职责处理个人信息，适用本法关于国家机关处理个,，,5
人信息的规定。,。,1
第三章,,6
个人信息跨境提供的规则,,0
第三十八条,,6
个人信息处理者因业务等需要，确需向中华人,，,5
民共和国境外提供个人信息的，应当具备下列条件之一：,，：,11
— 9 —,—  —,10
（一）依照本法第四十条的规定通过国家网信部门组织的安,（）,9
全评估；,；,0
（二）按照国家网信部门的规定经专业机构进行个人信息保,（）,9
护认证；,；,0
（三）按照国家网信部门制定的标准合同与境外接收方订立,（）,9
合同，约定双方的权利和义务；,，；,3
（四）法律、行政法规或者国家网信部门规定的其他条件。,（）、。,2
中华人民共和国缔结或者参加的国际条约、协定对向中华人,、,4
民共和国境外提供个人信息的条件等有规定的，可以按照其规定,，,5
执行。,。,1
个人信息处理者应当采取必要措施，保障境外接收方处理个,，,5
人信息的活动达到本法规定的个人信息保护标准。,。,1
第三十九条,,6
个人信息处理者向中华人民共和国境外提供,,0
个人信息的，应当向个人告知境外接收方的名称或者姓名、联系,，、,8
方式、处理目的、处理方式、个人信息的种类以及个人向境外接,、、、,7
收方行使本法规定权利的方式和程序等事项，并取得个人的单独,，,5
同意。,。,1
第四十条,,6
关键信息基础设施运营者和处理个人信息达到,,0
国家网信部门规定数量的个人信息处理者，应当将在中华人民共,，,5
和国境内收集和产生的个人信息存储在境内。确需向境外提供,。,1
的，应当通过国家网信部门组织的安全评估；法律、行政法规和,，；、,3
国家网信部门规定可以不进行安全评估的，从其规定。,，。,8
第四十一条,,6
中华人民共和国主管机关根据有关法律和中,,0
华人民共和国缔结或者参加的国际条约、协定，或者按照平等互,、，,2
惠原则，处理外国司法或者执法机构关于提供存储于境内个人信,，,5
— 10 —,—  —,10
息的请求。非经中华人民共和国主管机关批准，个人信息处理者,。，,3
不得向外国司法或者执法机构提供存储于中华人民共和国境内,,0
的个人信息。,。,1
第四十二条,,6
境外的组织、个人从事侵害中华人民共和国公,、,4
